Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Hunger Games,Suzanne Collins,eBook,,$41.99,1407135287,,Scholastic,
Where Good Ideas Come From,Steven Johnson,eBook,,$15.99,0141964596,,Penguin Books Ltd,336
Claiming the Dragon King,Amelia Hutchins,eBook,,$6.99,0997720107,,Amelia Hutchins,
book not found,,,,,,,,
The Boy with the Topknot,Sathnam Sanghera,eBook,,$15.99,0670923095,,Penguin Books Ltd,336
The Art of War,Sun Tzu,eBook,,$16.99,0857081020,,Wiley,220
Lean In,Sheryl Sandberg,eBook,,$18.99,0753549069,,Ebury Publishing,240
The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,eBook,,$9.99,014196555X,,Penguin Random House Children's UK,576
The Other Side of the Story,Marian Keyes,eBook,,$15.99,014190965X,,Penguin Books Ltd,656
Another Woman,Penny Vincenzi,eBook,,$12.99,0755351479,,Headline,640
Titmuss Regained,John Mortimer,eBook,,$15.99,0141959851,,Penguin Books Ltd,272
Thor & Loki,Jeff Limke,E-Book,,,1306291852,,Graphic Universe,52
Thin,Grace Bowman,eBook,,$18.99,0141905573,,Penguin Books Ltd,304
Shadow of Night,Deborah Harkness,eBook,,$13.99,0755384768,,Headline,605
Lover Mine,J. R. Ward,eBook,,$11.99,0748117466,,"Little, Brown Book Group",544
Uprooted,Naomi Novik,eBook,,,0804179042,,Random House Publishing Group,
Going Dutch,Katie Fforde,eBook,,$15.99,1407011340,,Random House,432
book not found,,,,,,,,
Xero For Dummies,Heather Smith,eBook,,,0730363996,,Wiley,472
1st to Die,James Patterson,eBook,,$12.99,0755387058,,Headline,375
Night Frost,R D Wingfield,eBook,,$15.99,1407068067,,Transworld,432
Notes to Self,Emilie Pine,eBook,,$24.99,0241986230,,Penguin Books Ltd,192
The French Slow Cooker,Michele Scicolone,eBook,$39.59,$31.99,0547607954,,HarperCollins,240
Dear Evan Hansen,Val Emmich,eBook,,$12.99,0241361869,,Penguin Random House Children's UK,368
Hope,Lesley Pearse,eBook,,$22.99,0141900946,,Penguin Books Ltd,688
A Dedicated Man,Peter Robinson,eBook,,,0330469282,,,
A Short History of Europe,Simon Jenkins,eBook,,$19.99,0241352533,,Penguin Books Ltd,400
Arnhem,Antony Beevor,eBook,,$14.99,0141941294,,Penguin Books Ltd,496
There Is No Planet B,Mike Berners-Lee,eText,,$18.95,1108337511,,Cambridge University Press,
Paradise Lodge,Nina Stibbe,eBook,,$15.99,0241974933,,Penguin Books Ltd,320
Strumpet City,James Plunkett,eBook,,$8.99,071715565X,,Gill Books,560
Introducing Postmodernism,Richard Appignanesi,E-Book,,,1281371971,,Icon Books Limited,191
book not found,,,,,,,,
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,eBook,$17.60,$16.99,0316448281,,Yen Press,
Mr Loverman,Bernardine Evaristo,eBook,,$15.99,0241963915,,Penguin Books Ltd,288
book not found,,,,,,,,
The Bridge at Remagen,Ken Hechler,eBook,$14.66,$11.99,0307514927,,Random House Publishing Group,
A Perfect Spy,John le Carr�,eBook,,$15.99,0241322499,,Penguin Books Ltd,688
Blood Song,Anthony Ryan,eBook,,$12.99,1405525967,,"Little, Brown Book Group",592
The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,eBook,,$12.99,0755350855,,Headline,448
Excession,Iain M. Banks,eBook,,$12.99,0748110003,,"Little, Brown Book Group",464
Brothers York,Thomas Penn,eBook,,$19.99,0718197291,,Penguin Books Ltd,640
The Secret Diary of Adrian Mole Aged 13 �,Sue Townsend,eBook,,$10.99,0141962909,,Penguin Random House Children's UK,272
The Girl On Legare Street,Karen White,eBook,$10.27,$9.99,1101155647,,Penguin Publishing Group,
How I Made $2 Million in the Stock Market,Nicolas Darvas,eBook,$21.99,$20.99,0857191411,,Harriman House,198
The Summer Queen,Elizabeth Chadwick,eBook,,$12.99,0748133836,,"Little, Brown Book Group",496
book not found,,,,,,,,
Hellion,Karen Lynch,eBook,,$6.87,1370046782,,Karen Lynch,
You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,,$11.99,0755384830,,Headline Publishing Group,448
book not found,,,,,,,,
book not found,,,,,,,,
The Winner,David Baldacci,eBook,,,0330527983,,,592
Our Man in Charleston,Christopher Dickey,eBook,$25.70,$20.99,0307887294,,Crown,
Postmortem,Patricia Cornwell,eBook,,$12.99,0748109501,,"Little, Brown Book Group",416
Hardwired,Meredith Wild,Paperback,$22.17,$21.75,0989768414,,WATERHOUSE PR,288
One Of Us Is Next,Karen M. McManus,eBook,,$9.99,0241376939,,Penguin Random House Children's UK,308
The Blind Assassin,Margaret Atwood,eBook,,$11.99,0748113347,,"Little, Brown Book Group",656
Alaska,James A. Michener,eBook,$27.42,$21.99,0804151423,,Random House Publishing Group,
Solo,Jill Mansell,eBook,,$11.99,0755351878,,Headline,300
The Hand That First Held Mine,Maggie O'Farrell,eBook,,$11.99,0755373278,,Headline,352
The Body Farm,Patricia Cornwell,eBook,,$11.99,0748109587,,"Little, Brown Book Group",400
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,,$12.99,074812196X,,"Little, Brown Book Group",400
The Firm,John Grisham,eBook,,$15.99,1407059041,,Random House,496
The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,eBook,,$12.99,0755350804,,Headline,448
Raise the Titanic,Clive Cussler,eBook,,$11.99,0748114335,,"Little, Brown Book Group",320
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,eBook,$19.06,$30.99,1401920527,,Hay House,395
Last Chance Saloon,Marian Keyes,eBook,,$15.99,014190982X,,Penguin Books Ltd,608
The Great Hunt,Robert Jordan,Paperback,$22.99,$52.99,0356517012,,Little Brown,720
In Peace Lies Havoc (Midnight Mayhem: Book I),Amo Jones,eBook,,,1393487327,,?Amo Jones,
The First Fifteen Lives of Harry August,Claire North,eBook,,$11.99,1405528257,,"Little, Brown Book Group",416
The Sword Of Shannara,Terry Brooks,eBook,,$12.99,140551566X,,"Little, Brown Book Group",672
The Dollhouse,Fiona Davis,eBook,$25.70,$20.99,1101985003,,Penguin Publishing Group,
The Leadership Challenge,James M. Kouzes,eText,,$41.79,111927897X,,Wiley Professional Development (P&T),
A Pound Of Flesh,Alex Gray,eBook,,$12.99,0748117385,,"Little, Brown Book Group",352
Stardust,Neil Gaiman,Paperback,$22.99,$39.99,0755322827,,Headline,214
The Boundless Sea,David Abulafia,eBook,,$28.99,0141972092,,Penguin Books Ltd,512
The Lady in the Lake and Other Novels,Raymond Chandler,eBook,,$16.99,0141190760,,Penguin Books Ltd,608
Blue Monday,Nicci French,eBook,,$15.99,0141970251,,Penguin Books Ltd,432
Masters of Rome,Robert Fabbri,eBook,$9.49,$8.99,0857899643,,Corvus,300
Apache Dawn,Damien Lewis,eBook,,,0748122761,,"Little, Brown Book Group",384
Body Swap,Katrina Kahler,eBook,,,1370005326,,Katrina Kahler,
Our Band Could Be Your Life,Michael Azerrad,eBook,,$66.99,0316247189,,"Little, Brown and Company",528
book not found,,,,,,,,
Any Human Heart,William Boyd,eBook,,$15.99,0141925329,,Penguin Books Ltd,512
Crime and Punishment,Fyodor Dostoevsky,eBook,,$10.99,0141956968,,Penguin Books Ltd,720
book not found,,,,,,,,
Hunger,Michael Grant,eBook,,$13.99,0061911496,,HarperCollins,608
The Fire Islands,Gilbert M. Stack,eBook,,,1370085176,,Gilbert M. Stack,
book not found,,,,,,,,
The Catcher in the Rye,J. D. Salinger,eBook,,$15.99,0241988799,,Penguin Books Ltd,240
book not found,,,,,,,,
book not found,,,,,,,,
Last Bus to Woodstock,Colin Dexter,eBook,,,0330468561,,,
A Moment of War,Laurie Lee,eBook,,$15.99,0141929553,,Penguin Books Ltd,192
March of the Lemmings,Stewart Lee,eBook,$18.69,$15.99,0571357040,,Faber & Faber,324
Path of the Assassin,Brad Thor,eBook,,$9.99,0743483308,,Atria Books,384
The Case of the Missing Boyfriend,Nick Alexander,eBook,,$5.99,0857896318,,Corvus,200
The Collector,Nora Roberts,eBook,,$11.99,1405522771,,"Little, Brown Book Group",496
The Deceivers,Kristen Simmons,eBook,$14.95,$36.99,125017581X,,Tor Publishing Group,
Profit First,Mike Michalowicz,eBook,$29.14,$23.99,0735214166,,Penguin Publishing Group,
book not found,,,,,,,,
If Beale Street Could Talk,James Baldwin,eBook,,$15.99,0141963794,,Penguin Books Ltd,240
Caves of Steel,Isaac Asimov,eBook,$13.19,$10.99,0307792412,,Random House Publishing Group,
Everything is Figureoutable,Marie Forleo,eBook,,$22.99,0241341043,,Penguin Books Ltd,240
The Glass Woman,Caroline Lea,eBook,,$15.99,1405934638,,Penguin Books Ltd,464
book not found,,,,,,,,
The Labyrinth Index,Charles Stross,eBook,,$12.99,0356511073,,"Little, Brown Book Group",368
Billy Connolly's Tracks Across America,Billy Connolly,eBook,,$35.99,075156415X,,"Little, Brown Book Group",288
The Tipping Point,Malcolm Gladwell,eBook,,$16.99,0759574731,,"Little, Brown and Company",288
Dying for a Cruise,Joyce Cato,E-Book,,,1306020271,,Robert Hale & Company,225
Me Talk Pretty One Day,David Sedaris,eBook,,$12.99,0748123032,,"Little, Brown Book Group",288
