Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Common Sense,Thomas Paine,eBook,,$3.99,0553898418,,Random House Publishing Group,
Taunting Destiny,Amelia Hutchins,eBook,,$6.99,1301211222,,Amelia Hutchins,
The Book of Chuang Tzu,Chuang Tzu,eBook,,$14.99,0141913991,,Penguin Books Ltd,352
Fingersmith,Sarah Waters,eBook,,$11.99,0748129235,,"Little, Brown Book Group",560
Ways of Seeing,John Berger,eBook,,$14.99,0141917989,,Penguin Books Ltd,176
"Life, Death and Vanilla Slices",Jenny Eclair,eBook,,$12.99,0748127720,,"Little, Brown Book Group",320
Revolution 1989,Victor Sebestyen,eBook,,$19.99,0297857886,,Orion,576
My Cousin Rachel,Daphne du Maurier,eBook,,,0316252964,,"Little, Brown and Company",352
Storytime for 2 Year Olds,,,,,0857346563,,Bonnier Books Ltd,48
Hour Game,David Baldacci,Paperback,,,1455550795,,GRAND CENTRAL PUBL,512
The Lords of the Wind,C.J. Adrien,eBook,,$36.99,0989929159,,C.J. Adrien,
The Blissful Baby Expert,Lisa Clegg,eBook,,$19.99,1473501539,,Ebury Publishing,368
A Fall of Marigolds,Susan Meissner,eBook,$23.99,$19.99,1101625546,,Penguin Publishing Group,304
Down to the Woods,M. J. Arlidge,eBook,,$15.99,1405925671,,Penguin Books Ltd,368
Introducing Political Philosophy,Principal Lecturer in Psychology Dave Robinson,E-Book,,,1281372048,,Icon Books Limited,176

"Love, Iris",Elizabeth Noble,eBook,,$15.99,0241392101,,Penguin Books Ltd,480
Soldiers Of The Queen,Max Hennessy,eBook,$8.79,$7.99,0755128087,,House of Stratus,366
Tom Clancy's Support and Defend,Mark Greaney,eBook,,$15.99,1405919310,,Penguin Books Ltd,416
book not found,,,,,,,,
Feral,George Monbiot,eBook,,$15.99,0141975598,,Penguin Books Ltd,256
From the Dead,Mark Billingham,Paperback,$22.99,$11.99,075154003X,,Little Brown,496
The Killing Type,Jane Corry,eBook,,$0.00,0241984580,,Penguin Books Ltd,40
If You Were Me,Sheila O'Flanagan,eBook,,$11.99,0755378504,,Headline,464
Pretty Little Liars,Sara Shepard,eBook,,$11.99,0748124616,,"Little, Brown Book Group",256
Before We Was We,Mike Barson,eBook,,$15.99,0753553945,,Ebury Publishing,320
Christmas Bells,Jennifer Chiaverini,Paperback,,$15.99,1101984791,,Penguin Group USA,352
Man's Search for Meaning,Viktor E. Frankl,eBook,,$16.75,0807014281,,,
The Fifth Queen,Ford Madox Ford,eBook,$17.14,$13.99,0307744922,,Knopf Doubleday Publishing Group,
Red Country,Joe Abercrombie,eBook,,$12.99,0575095857,,Orion,560
One Flew Over the Cuckoo's Nest,Ken Kesey,eBook,,$15.99,0141915064,,Penguin Books Ltd,320
Provided You Don't Kiss Me,Duncan Hamilton,eBook,,$20.99,0007283032,,HarperCollins Publishers,256
Love,Toni Morrison,eBook,,$15.99,1407020358,,Random House,208
Macbeth,William Shakespeare,eBook,,$1.45,0486113035,,Dover Publications,96
The Goldfinch,Donna Tartt,eBook,,$12.99,1405529512,,"Little, Brown Book Group",784
Home,Julie Andrews,eBook,,$21.99,1401395422,,Hachette Books,352
The Elephant Whisperer,Anthony Lawrence,eBook,,,0283070897,,,
Trace,Patricia Cornwell,eBook,,$11.99,0748109684,,"Little, Brown Book Group",496
The Coddling of the American Mind,Jonathan Haidt,eBook,,$21.99,0241308364,,Penguin Books Ltd,400
The Wall,John Lanchester,eBook,$13.19,$11.99,0571298710,,Faber & Faber,320
"Go Programming Language, The",Alan A. A. Donovan,eText,,$61.25,0134190564,,Pearson Technology Group,
The Brothers of Brigadier Station,Sarah Williams,eBook,,$0.99,0648046214,,Serenade Publishing,234
Persuasion,Jane Austen,eBook,,$3.99,0553904566,,Random House Publishing Group,
The Little Book of Common Sense Investing,John C. Bogle,eBook,,$29.99,1119404517,,Wiley,304
Murder Most Unladylike,Robin Stevens,eBook,,$9.99,0141369779,,Penguin Random House Children's UK,352
Father Unknown,Lesley Pearse,eBook,,$15.99,0141924608,,Penguin Books Ltd,416
Tempting Fate,Jane Green,eBook,,$15.99,0141967315,,Penguin Books Ltd,400
Paths of Glory,Jeffrey Archer,eBook,,,0230741924,,,400
Measure What Matters,John Doerr,eBook,,$18.99,0241983886,,Penguin Books Ltd,320
Seeing Around Corners,Rita McGrath,eBook,,$26.99,0358018978,,HarperCollins,
Find Me,Andr� Aciman,eBook,$16.49,$39.99,0571356516,,Faber & Faber,256
Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,eBook,,$12.99,0141924403,,Penguin Random House Children's UK,384
The Demigod Diaries,Rick Riordan,eBook,,$14.99,014134475X,,Penguin Random House Children's UK,256
Star Wars Omnibus Knights of the Old Republic Vol. 1,John Jackson Miller,eBook,$29.33,$23.99,1302453645,,Marvel Entertainment,
Forever Dreams,Leeanna Morgan,eBook,,$9.99,0994105452,,Rogan Press,
The Retribution,Val McDermid,eBook,,$11.99,0748125787,,"Little, Brown Book Group",544
Fool Moon : Dresden Files,Jim Butcher,Paperback,,$20.40,0356500284,,Little Brown,341
The Water Cure,Sophie Mackintosh,eBook,,$15.99,0241983029,,Penguin Books Ltd,240
The Hangman's Song,James Oswald,eBook,,$21.99,1405913193,,Penguin Books Ltd,400
Hornblower and the Hotspur,C.S. Forester,eBook,,$15.99,0141930454,,Penguin Books Ltd,304
The Pioppi Diet,Dr Aseem Malhotra,eBook,,$14.99,1405932678,,Penguin Books Ltd,288
Eclipse,Stephenie Meyer,eBook,,$11.99,0748112537,,"Little, Brown Book Group",672
Dark Tales,Shirley Jackson,eBook,,$15.99,0241295432,,Penguin Books Ltd,176
The Fifth Elephant,Terry Pratchett,eBook,,$15.99,1407035207,,Transworld,464
Guardians Of The Galaxy Vol. 1,Brian Michael Bendis,eBook,$16.12,$12.99,130201367X,,Marvel Entertainment,
The Unmarried Mother,Sheila Tofield,eBook,,$14.99,1405911352,,Penguin Books Ltd,240
Dani's Story,Diane Lierow,eBook,,$14.99,0718158296,,Penguin Books Ltd,288
Close Your Eyes,Michael Robotham,eBook,,$9.99,1405530669,,"Little, Brown Book Group",400
Cruel And Unusual,Patricia Cornwell,eBook,,$11.99,0748109358,,"Little, Brown Book Group",448
The Bracelet,Fredrica Alleyn,Paperback,$32.99,$16.99,0753541599,,RANDOM HOUSE UK,320
Always Managing,Harry Redknapp,eBook,,$18.99,1407060732,,Ebury Publishing,432
Tower Lord,Anthony Ryan,eBook,,$12.99,1405525959,,"Little, Brown Book Group",624
The Traitor God,Cameron Johnston,Paperback,,$31.80,0857667793,,RANDOM HOUSE US,432
Dead Until Dark : A True Blood Novel,Charlaine Harris,eBook,,$11.99,0575089377,,Orion,352
Feet Of Clay,Terry Pratchett,eBook,,$14.99,1407035029,,Transworld,416
Crucial Conversations,Joseph Grenny,Paperback,$33.95,$21.75,1260474186,,McGraw Hill,304
Scaredy Cat,Mark Billingham,eBook,,$11.99,0748109528,,"Little, Brown Book Group",480
Margaret Thatcher,Charles Moore,eBook,,$19.99,0241324750,,Penguin Books Ltd,880
Little Life,Hanya Yanagihara,eBook,,,0385539266,,Knopf Doubleday Publishing Group,498
Black Notice,Patricia Cornwell,Paperback,,$29.95,0751544833,,Little Brown,464
book not found,,,,,,,,
The Break,Marian Keyes,eBook,,$15.99,1405918772,,Penguin Books Ltd,400
Enemy of Mine,Brad Taylor,eBook,,$36.99,1101606606,,Penguin Publishing Group,400
Dark Age,Pierce Brown,Hardcover,,$53.25,0425285944,,Del Rey Books,800

Last Man Off,Matt Lewis,eBook,,$16.99,0241967457,,Penguin Books Ltd,256
book not found,,,,,,,,
Three Daughters of Eve,Elif Shafak,eBook,,$15.99,0241978874,,Penguin Books Ltd,368
A Narrow Margin of Error,Faith Martin,eBook,,,0719811139,,Robert Hale,224
Iron Lake (20th Anniversary Edition),William Kent Krueger,eBook,,$14.99,0671036904,,Atria Books,336
book not found,,,,,,,,
The Chessmen,Peter May,eBook,,$12.99,0857382187,,Quercus,400
The Silk Merchant's Daughter,Dinah Jefferies,eBook,,$15.99,0241975905,,Penguin Books Ltd,400
The Brightest Star in the Sky,Marian Keyes,eBook,,$15.99,0141958308,,Penguin Books Ltd,640
Things Fall Apart,Chinua Achebe,eBook,,$15.99,0141393963,,Penguin Books Ltd,176
The Challenger Sale,Matthew Dixon,eBook,,$18.99,0670922862,,Penguin Books Ltd,240
A Christmas Carol,Charles Dickens,eBook,$8.55,$7.99,0553897055,,Random House Publishing Group,
Dottir,Katrin Davidsdottir,eBook,$19.51,$23.99,1250142652,,St. Martin's Publishing Group,
Berlin,Antony Beevor,eBook,,$15.99,0141903023,,Penguin Books Ltd,528
The David Raker Collection Books 1-3,Tim Weaver,eBook,,$19.99,1405917318,,Penguin Books Ltd,1142
book not found,,,,,,,,
Fool Moon : Dresden Files,Jim Butcher,eBook,,$12.99,0748116079,,"Little, Brown Book Group",400
Lost Innocence,Susan Lewis,eBook,,$15.99,1409064913,,Random House,656
The Water Dancer,Ta-Nehisi Coates,eBook,,,0241982529,,Penguin Books Ltd,320
Triptych,Karin Slaughter,eBook,,$15.99,1407008390,,Random House,528
Good As Dead,Mark Billingham,eBook,,$12.99,0748120483,,"Little, Brown Book Group",352
The Hazel Wood,Melissa Albert,eBook,,$12.99,0141388676,,Penguin Random House Children's UK,400
First Light,Geoffrey Wellum,eBook,,$19.99,0241984335,,Penguin Books Ltd,352
Zero to One,Blake Masters,eBook,,$18.99,075355030X,,Ebury Publishing,224
Touching the Void,Joe Simpson,eBook,,$17.99,0957519303,,DirectAuthors.com Ltd.,
The Woman Who Stole My Life,Marian Keyes,eBook,,$15.99,0718179579,,Penguin Books Ltd,500
The Other People,C. J. Tudor,eBook,,$15.99,1405939648,,Penguin Books Ltd,400
I Know Why The Caged Bird Sings,Dr Maya Angelou,eBook,,$12.99,0748122346,,"Little, Brown Book Group",320
12 Rules for Life,Jordan B. Peterson,eBook,,$15.99,0241351650,,Penguin Books Ltd,448
The Revenge of Seven,Pittacus Lore,eBook,,$15.99,1405913630,,Penguin Books Ltd,400
The Growing Pains of Adrian Mole,Sue Townsend,eBook,,$15.99,0718196120,,Penguin Books Ltd,352
Fast Lane,Kristen Ashley,eBook,,$7.36,0463228456,,Kristen Ashley,
Nancy Drew 21,Carolyn Keene,eBook,$14.66,$11.99,1101077220,,Penguin Young Readers Group,192
The Anatomist's Wife,Anna Lee Huber,eBook,$17.14,$13.99,1101612320,,Penguin Publishing Group,368
Miracle on Regent Street,Ali Harris,eBook,,$42.99,085720291X,,Simon & Schuster UK,496
12th of Never,James Patterson,Hardcover,,,031621082X,,LITTLE BROWN & CO,432
Mageborn,Michael G. Manning,eBook,,$9.00,1311117091,,Michael G. Manning,
Frenemies,Emma Hart,eBook,,$36.99,0463765796,,Emma Hart,
Ghost Fleet,P. W. Singer,eBook,,$9.99,0544145976,,HarperCollins,368
The Darling Buds of May,H. E. Bates,eBook,,$15.99,0141902809,,Penguin Books Ltd,144

Love Like Blood,Mark Billingham,Paperback,$22.99,$35.99,0751566926,,Little Brown,512
Mary Barton,Elizabeth Gaskell,eBook,,$21.99,0141974672,,Penguin Books Ltd,512
Jorge El Curioso Huellas De Dinosaurio/curious George Dinosaur Tracks,H. A. Rey,eBook,,$2.99,0547728468,,HarperCollins,
Eat to Beat Disease,William W. Li,Hardcover,,$160.50,153871549X,,GRAND CENTRAL PUBL,688
The School of Life,Alain de Botton,eBook,,$22.99,0241985854,,Penguin Books Ltd,240
Winning Not Fighting,John Vincent,eBook,,$18.99,0241318386,,Penguin Books Ltd,256
The Happiness Trap,Russ Harris,eBook,,,0834821044,,Shambhala,240
Lovers and Strangers,Clair Wills,eBook,,$15.99,0141974966,,Penguin Books Ltd,240
First Class Murder,Robin Stevens,eBook,,$9.99,0141369833,,Penguin Random House Children's UK,336
Five Little Monkeys Trick-or-Treat,Eileen Christelow,eBook,,$4.99,0547859090,,HarperCollins,
The Art of War,Sun-tzu,eBook,,$10.99,014191968X,,Penguin Books Ltd,112
The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan,eBook,,$12.99,0141339233,,Penguin Random House Children's UK,608
A Christmas Carol,Charles Dickens,eBook,$8.55,$7.99,0553897055,,Random House Publishing Group,
book not found,,,,,,,,
The Broken Eye,Brent Weeks,eBook,,$12.99,0748116990,,"Little, Brown Book Group",816
Men At Arms,Terry Pratchett,eBook,,$15.99,1407034901,,Transworld,432
book not found,,,,,,,,
A New Earth,Eckhart Tolle,eBook,,$4.99,0141908769,,Penguin Books Ltd,336
Rosewater,Tade Thompson,eBook,,,0316449032,,Orbit,400
Girl in Luv,Jay Crownover,eBook,,$4.99,1393711332,,?Jay Crownover,
Mustache Baby Meets His Match,Bridget Heos,eBook,,$11.99,0544539214,,HarperCollins,
$2.00 A Day,Kathryn J. Edin,eBook,,$26.99,0544303245,,HarperCollins,288
100+ Knock Knock Jokes for Kids,Johnny B. Laughing,eBook,,$1.57,1311339604,,Hey Sup Bye Publishing,
Ms. Marvel Vol. 1,G. Willow Wilson,eBook,$13.19,$10.99,1302402226,,Marvel Entertainment,
Unnatural Causes,Dr Richard Shepherd,eBook,,$14.99,1405923555,,Penguin Books Ltd,400
Blood Trade,Faith Hunter,eBook,$11.72,$10.99,1101607629,,Penguin Publishing Group,336
Liquidate Paris,Sven Hassel,eBook,,$22.99,0297865803,,Orion,320
Firewall,Henning Mankell,eBook,,$15.99,1407017683,,Random House,544
The Black Swan,Nassim Nicholas Taleb,eBook,,$15.99,0141906200,,Penguin Books Ltd,480
The Outback Governess,Sarah Williams,eBook,,$5.99,0648046273,,Serenade Publishing,
Charlie and the Chocolate Factory,Roald Dahl,eBook,,$9.99,0141960612,,Penguin Random House Children's UK,208
The Path Of Daggers,Robert Jordan,eBook,,$12.99,0748115412,,"Little, Brown Book Group",672
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$10.99,0007461240,,HarperCollins Publishers,224
Chernobyl Prayer,Svetlana Alexievich,eBook,,$15.99,0241270545,,Penguin Books Ltd,240
Sojourn,R.A. Salvatore,eBook,$16.12,$12.99,0786954035,,Wizards of the Coast Publishing,352
I Am Malala,Malala Yousafzai,eBook,,$11.99,0297870939,,Orion,320
Goodnight Mister Tom,Michelle Magorian,eBook,,$12.99,0141964529,,Penguin Random House Children's UK,448
book not found,,,,,,,,
Stig of the Dump,Clive King,eBook,,$10.99,0141960604,,Penguin Random House Children's UK,256
Strange Tales from a Chinese Studio,Pu Songling,eBook,,$14.99,0141928522,,Penguin Books Ltd,608
book not found,,,,,,,,
Assassin's Fate,Robin Hobb,Hardcover,,,0007444257,,HarperCollins Publishers,864
In Pursuit of the Unknown,Ian Stewart,eBook,,,0465029744,,,352
Operation Mincemeat,Ben Macintyre,eBook,$18.39,$15.99,1408808544,,Bloomsbury Publishing,432
Who Dares Wins,Dominic Sandbrook,eBook,,$19.99,014197527X,,Penguin Books Ltd,480
Nothing but Trouble,Roberta Kray,eBook,,$30.99,0748123016,,"Little, Brown Book Group",480
book not found,,,,,,,,
Remember Me,Lesley Pearse,eBook,,$21.99,0141907851,,Penguin Books Ltd,600
book not found,,,,,,,,
Because of Mr. Terupt,Rob Buyea,eBook,$13.19,$10.99,0375896155,,Random House Children's Books,
The Prosperity Bible,Napoleon Hill,eBook,$25.70,$20.99,1101097639,,Penguin Publishing Group,1280
Deep Sea and Foreign Going,Rose George,Paperback,$24.99,$17.99,1846272998,,Granta,320
Rogue,Karen Lynch,eBook,,$6.84,1310976325,,Karen Lynch,
An Invisible Murder,Joyce Cato,E-Book,,,1306021243,,Robert Hale & Company,225
The Scarpetta Factor,Patricia Cornwell,eBook,,$11.99,0748113118,,"Little, Brown Book Group",512
Crap CVs,Jenny Crompton,eBook,,$14.99,1405920459,,Penguin Books Ltd,240
Everything I Know About Love,Dolly Alderton,eBook,,$16.99,024198209X,,Penguin Books Ltd,304
Steal Like an Artist,Austin Kleon,Paperback,$26.99,$49.99,0761169253,,Workman,160
The Spirit Level,Kate Pickett,eBook,,$16.99,0141921153,,Penguin Books Ltd,400
book not found,,,,,,,,
The Better Angels of Our Nature,Steven Pinker,eBook,,$18.99,0141959746,,Penguin Books Ltd,1056
Call The Midwife,Jennifer Worth,eBook,,$11.99,0297859668,,Orion,368
book not found,,,,,,,,
Introducing Romanticism,Duncan Heath,E-Book,,,1281371815,,Icon Books Limited,174
The Hunter,Tom Wood,eBook,,$11.99,0748122850,,"Little, Brown Book Group",400
Notes on a Scandal,Zo� Heller,eBook,,$15.99,0141901918,,Penguin Books Ltd,256
Cider With Rosie,Laurie Lee Mbe Mbe,eBook,,$14.99,1407073362,,Random House,240
Your Blue-Eyed Boy,Helen Dunmore,eBook,,$15.99,0141917326,,Penguin Books Ltd,256
Small Island,Andrea Levy,eBook,,$12.99,0755359712,,Headline,422
Waiting for Wednesday,Nicci French,eBook,,$15.99,0141964030,,Penguin Books Ltd,384
The 7 Principles of Fat Burning,Eric Berg D.C.,eBook,,,0982601611,,,330
book not found,,,,,,,,
The Man in the High Castle,Philip K. Dick,eBook,,$15.99,0241964261,,Penguin Books Ltd,272
Splinter the Silence,Val McDermid,eBook,,$16.99,075156141X,,"Little, Brown Book Group",400

The Hero of Ages,Brandon Sanderson,eBook,,$11.99,0575097760,,Orion,768
With the Old Breed,Eugene B Sledge,eBook,,$18.99,1409003078,,Ebury Publishing,352
A Month in Siena,Hisham Matar,eBook,,$15.99,0241987067,,Penguin Books Ltd,128
The Chase,Elle Kennedy,eBook,,,0994054459,,?Elle Kennedy Inc.,
AI Superpowers,Kai-Fu Lee,eBook,,$13.99,1328545865,,HarperCollins,
Dare to Kiss,S.B. Alexander,eBook,,$0.00,0988776243,,S.B. Alexander,
Staring At The Sun,Irvin D. Yalom,eBook,,,0748128220,,"Little, Brown Book Group",320
George Passant,C.P. Snow,eBook,$10.99,$9.99,0755120108,,House of Stratus,338
The Bright Blue Sky,Max Hennessy,eBook,,,0755147537,,,286
Elon Musk,Ashlee Vance,eBook,,$18.99,0753550660,,Ebury Publishing,400
Scandal Never Sleeps,Lexi Blake,eBook,,$33.99,069816301X,,Penguin Publishing Group,
South by Java Head,Alistair MacLean,eBook,,$15.99,000728943X,,HarperCollins Publishers,448
Cold Days,Jim Butcher,eBook,,$12.99,0748130810,,"Little, Brown Book Group",416
book not found,,,,,,,,
Dark Winter,Andy McNab,eBook,,$15.99,1407039083,,Transworld,496
Game on Boys! The Play Station Playoffs.,Kate Cullen,eBook,,$0.00,1310410909,,Kate Cullen,
book not found,,,,,,,,
book not found,,,,,,,,
Mr Maybe,Jane Green,eBook,,$15.99,0141956526,,Penguin Books Ltd,432
Roses are Red,James Patterson,eBook,,$12.99,0755387252,,Headline,329
The Beggar Maid,Dilly Court,eBook,,$15.99,1448135605,,Random House,480
Elizabeth is Missing,Emma Healey,eBook,,$15.99,0241968194,,Penguin Books Ltd,288
Christmas at Battersea,Battersea Dogs & Cats Home,eBook,,$14.99,140591971X,,Penguin Books Ltd,288
The Worst Witch,Jill Murphy,eBook,,$10.99,0141971576,,Penguin Random House Children's UK,112
Human Compatible,Stuart Russell,eBook,,$16.99,0241335248,,Penguin Books Ltd,352
A Spirited Girl on Cornish Shores,Laura Briggs,eBook,,$0.99,0463368835,,Laura Briggs,
In the Buddha's Words,Bhikkhu Bodhi,eBook,,$9.99,0861719964,,Wisdom Publications,512
book not found,,,,,,,,
Make It Stick,Peter C. Brown,Hardcover,$59.95,$39.99,0674729013,,Harvard University Press,336
The Art of Travel,Alain de Botton,eBook,,$16.99,0141930268,,Penguin Books Ltd,272
Siddhartha,Hermann Hesse,eBook,,$15.99,0141918845,,Penguin Books Ltd,144
The Other Slavery,Andr�s Res�ndez,eBook,,$14.99,0544602676,,HarperCollins,448
Ashes to Ashes & Back,Spooks,eBook,,$1.80,1370734336,,Spooks,
The Bone Bed,Patricia Cornwell,eBook,,$11.99,0748128182,,"Little, Brown Book Group",512
The Blue Afternoon,William Boyd,eBook,,$15.99,0141929774,,Penguin Books Ltd,336
The Dangerous Years,Max Hennessy,eBook,,,0755147553,,,346
Diary of an Almost Cool Girl,B Campbell,eBook,,,1310537348,,Katrina Kahler,
A Time To Kill,John Grisham,eBook,,$15.99,1407059513,,Random House,752
The Lights Go Out in Lychford,Paul Cornell,eBook,$14.29,$11.99,1250249465,,Tor Publishing Group,
Etty Steele Vampire Hunter,Grayson Grave,eBook,,$0.00,0463469143,,Grayson Grave,
Royals,Emma Forrest,eBook,$18.39,$15.99,140889520X,,Bloomsbury Publishing,336
The Secret Rooms,Catherine Bailey,eBook,,$15.99,024196038X,,Penguin Books Ltd,480
Bigger Leaner Stronger,Michael Matthews,eBook,,,098242275X,,Oculus Publishers,
Escaped Killer,RJ Parker,eBook,,$0.00,0463255410,,RJ Parker,
The Mask of Dimitrios,Eric Ambler,eBook,,$15.99,0141924543,,Penguin Books Ltd,240
Night Shift,Stephen King,eBook,$16.12,$12.99,0385528841,,Knopf Doubleday Publishing Group,
Butterfly Brain,Barry Cryer,eBook,,$13.99,0297859110,,Orion,256
A Noble Radiance,Donna Leon,eBook,,$15.99,1407097962,,Random House,288
Passing,Nella Larsen,eBook,,$19.99,0486113469,,Dover Publications,112
An Inspector Calls and Other Plays,J B Priestley,eBook,,$15.99,0141917113,,Penguin Books Ltd,304
Clean Code,Robert C. Martin,eText,,$76.12,0136083250,,Pearson Technology Group,
The Know,Martina Cole,eBook,,$11.99,0755350782,,Headline,300
The Sparrow,Mary Doria Russell,eBook,,$15.99,1407057022,,Transworld,512book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
Becoming his Monster,Amelia Hutchins,eBook,,$6.87,0997720115,,Amelia Hutchins,
Reflected in You,Sylvia Day,eBook,,$4.99,1405910267,,Penguin Books Ltd,352
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
Gridlock,Ben Elton,eBook,,$15.99,1407040928,,Transworld,448
Tuck Everlasting,Natalie Babbitt,eBook,$11.21,$9.99,0374706441,,"Farrar, Straus and Giroux (BYR)",
book not found,,,,,,,,
What Is Real?,Adam Becker,eBook,,,0465096069,,Basic Books,384
The Client,John Grisham,eBook,,$15.99,1407059017,,Random House,640
The Lost World,Michael Crichton,eBook,,$15.99,1407097628,,Random House,448
Shiang,C. F. Iggulden,eBook,,$15.99,0718186796,,Penguin Books Ltd,400
Deadlocked : A True Blood Novel,Charlaine Harris,eBook,,$11.99,0575096608,,Orion,352
The Peripheral,William Gibson,eBook,,$15.99,0241961017,,Penguin Books Ltd,496
Hard Frost,R D Wingfield,eBook,,$15.99,1407068032,,Transworld,448
book not found,,,,,,,,
Never Binge Again(tm),Glenn Livingston,eBook,,$0.00,1310521190,,Glenn Livingston,
The Lives of Stella Bain,Anita Shreve,eBook,,$11.99,0748122427,,"Little, Brown Book Group",272
If You Were Me,Sheila O'Flanagan,Paperback,$26.99,$35.99,0755378458,,Headline,464
East of Croydon,Sue Perkins,eBook,,$14.99,1405938153,,Penguin Books Ltd,400
White Nights,Ann Cleeves,Paperback,,$12.99,1447274458,,Pan Macmillan UK,416
Washington,Ron Chernow,eBook,,$18.99,0141966106,,Penguin Books Ltd,896
The Outsiders,SE Hinton,eBook,,$14.25,1101642610,,,208
Introducing Nietszche,Laurence Gane,E-Book,,,1281372072,,Icon Books Limited,176
"Design of Everyday Things, The",Don Norman,E-Book,,,1306432774,,Basic Books (AZ),369
book not found,,,,,,,,
book not found,,,,,,,,
Peace Comes to Honeyfield,Anna Jacobs,eBook,$14.38,$12.99,0749020504,,Allison & Busby,
Faith,Lesley Pearse,eBook,,$21.99,0141910275,,Penguin Books Ltd,640
The Insider Threat,Brad Taylor,eBook,,$36.99,0698190858,,Penguin Publishing Group,
Lover Awakened,J. R. Ward,eBook,,$11.99,0748129103,,"Little, Brown Book Group",464
Eating Animals,Jonathan Safran Foer,eBook,,$15.99,0141932651,,Penguin Books Ltd,352
The Hollow Crown,Dan Jones,eBook,$16.49,$14.99,057128809X,,Faber & Faber,480
book not found,,,,,,,,
Sweet Expectations,Mary Ellen Taylor,eBook,,$29.99,1101626240,,Penguin Publishing Group,352
The Wych Elm,Tana French,eBook,,$15.99,0241985676,,Penguin Books Ltd,480
Start With Why,Simon Sinek,eBook,,$15.99,0241958237,,Penguin Books Ltd,256
10 Ways to Make Money in a Free World,Nicholas Lovell,eBook,,$0.00,0241004233,,Penguin Books Ltd,30
Introducing Buddha,Jane Hope,E-Book,,,1281372013,,Icon Books Limited,175
Hope to Die,James Patterson,eBook,,,0316210943,,"Little, Brown and Company",400
book not found,,,,,,,,
The Tyrant's Tomb (The Trials of Apollo Book 4),Rick Riordan,eBook,,$12.99,0141364068,,Penguin Random House Children's UK,528
Until December,Aurora Rose reynolds,eBook,,,1393152732,,?Aurora Rose reynolds,
The Riverman,Alex Gray,eBook,,$12.99,0748133542,,"Little, Brown Book Group",432
The Queen of Nothing,Holly Black,eBook,,$23.99,0316310409,,"Little, Brown Books for Young Readers",320
Cold Comfort Farm,Stella Gibbons,eBook,,$22.99,0141920076,,Penguin Books Ltd,256
Sarmatian,Peter Darman,eBook,,$6.33,0463866797,,Peter Darman,
Freeze,Justine Pattison,eBook,,$19.99,0297865188,,Orion,
Daughter,Jane Shemilt,eBook,,$19.99,1405915307,,Penguin Books Ltd,368
Elantris,Brandon Sanderson,eBook,,$11.99,0575097450,,Orion,656
Flying Colours,C.S. Forester,eBook,,$15.99,0141959215,,Penguin Books Ltd,272
book not found,,,,,,,,
Tom Clancy's Full Force and Effect,Mark Greaney,eBook,,$15.99,1405919280,,Penguin Books Ltd,688

Peace Comes to Honeyfield,Anna Jacobs,eBook,$14.38,$12.99,0749020504,,Allison & Busby,
Faith,Lesley Pearse,eBook,,$21.99,0141910275,,Penguin Books Ltd,640
The Insider Threat,Brad Taylor,eBook,,$36.99,0698190858,,Penguin Publishing Group,
Lover Awakened,J. R. Ward,eBook,,$11.99,0748129103,,"Little, Brown Book Group",464
Eating Animals,Jonathan Safran Foer,eBook,,$15.99,0141932651,,Penguin Books Ltd,352
The Hollow Crown,Dan Jones,eBook,$16.49,$14.99,057128809X,,Faber & Faber,480
book not found,,,,,,,,
Sweet Expectations,Mary Ellen Taylor,eBook,,$29.99,1101626240,,Penguin Publishing Group,352
The Wych Elm,Tana French,eBook,,$15.99,0241985676,,Penguin Books Ltd,480
Start With Why,Simon Sinek,eBook,,$15.99,0241958237,,Penguin Books Ltd,256
10 Ways to Make Money in a Free World,Nicholas Lovell,eBook,,$0.00,0241004233,,Penguin Books Ltd,30
Introducing Buddha,Jane Hope,E-Book,,,1281372013,,Icon Books Limited,175
Hope to Die,James Patterson,eBook,,,0316210943,,"Little, Brown and Company",400
A Monster Calls,Patrick Ness,Hardcover,,,076365633X,,CANDLEWICK BOOKS,
Return to Tradd Street,Karen White,eBook,$20.57,$16.99,1101626488,,Penguin Publishing Group,352
The Second World War,Antony Beevor,eBook,,$19.99,0297860704,,Orion,736
Digital Minimalism,Cal Newport,eBook,,$15.99,0241341159,,Penguin Books Ltd,184
The Wine Bible,Karen MacNeil,eBook,,,0761187154,,Workman Publishing Company,1008
A Curse of the Heart,Adele Clee,eBook,,,0993283225,,?Adele Clee,
book not found,,,,,,,,
book not found,,,,,,,,
Strange Affair,Peter Robinson,eBook,,,0330469444,,,
The Ball is Round,David Goldblatt,eBook,,$19.99,0141911549,,Penguin Books Ltd,992
book not found,,,,,,,,
A Murder of Quality,John le Carr�,eBook,,$15.99,0141967455,,Penguin Books Ltd,192
The Living Mountain,Nan Shepherd,eBook,$21.08,$16.99,0857863606,,Canongate Books,108
